date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
15:16:40	95408/95408	U--M-Z	200	updated ('OK')	text/html	etag:%22174b0-6532f0e4b1de4-gzip%22	https://techzaa.in/rasket/admin/extended-sweetalert.html	C:/My%20Web%20Sites/Prototipo%20Salao%20de%20eventos/techzaa.in/rasket/admin/extended-sweetalert.html	(from https://techzaa.in/rasket/admin/index.html)
15:16:40	83968/83968	U--M-Z	200	updated ('OK')	text/html	etag:%2214800-6532f0e4afea4-gzip%22	https://techzaa.in/rasket/admin/extended-scrollbar.html	C:/My%20Web%20Sites/Prototipo%20Salao%20de%20eventos/techzaa.in/rasket/admin/extended-scrollbar.html	(from https://techzaa.in/rasket/admin/index.html)
15:16:46	75324/75324	U--M-Z	200	updated ('OK')	text/html	etag:%221263c-6532f0e4b2d85-gzip%22	https://techzaa.in/rasket/admin/extended-toastify.html	C:/My%20Web%20Sites/Prototipo%20Salao%20de%20eventos/techzaa.in/rasket/admin/extended-toastify.html	(from https://techzaa.in/rasket/admin/index.html)
15:16:46	65466/65466	U--M-Z	200	updated ('OK')	text/html	etag:%22ffba-6532f0e4aef04-gzip%22	https://techzaa.in/rasket/admin/charts-apex-bar.html	C:/My%20Web%20Sites/Prototipo%20Salao%20de%20eventos/techzaa.in/rasket/admin/charts-apex-bar.html	(from https://techzaa.in/rasket/admin/index.html)
15:16:46	78574/78574	U--M-Z	200	updated ('OK')	text/html	etag:%22132ee-6532f0e4adf64-gzip%22	https://techzaa.in/rasket/admin/charts-apex-area.html	C:/My%20Web%20Sites/Prototipo%20Salao%20de%20eventos/techzaa.in/rasket/admin/charts-apex-area.html	(from https://techzaa.in/rasket/admin/index.html)
15:16:46	63919/63919	U--M-Z	200	updated ('OK')	text/html	etag:%22f9af-6532f0e4aef04-gzip%22	https://techzaa.in/rasket/admin/charts-apex-bubble.html	C:/My%20Web%20Sites/Prototipo%20Salao%20de%20eventos/techzaa.in/rasket/admin/charts-apex-bubble.html	(from https://techzaa.in/rasket/admin/index.html)
15:16:53	62135/62135	U--M-Z	200	updated ('OK')	text/html	etag:%22f2b7-6532f0e4aef04-gzip%22	https://techzaa.in/rasket/admin/charts-apex-candlestick.html	C:/My%20Web%20Sites/Prototipo%20Salao%20de%20eventos/techzaa.in/rasket/admin/charts-apex-candlestick.html	(from https://techzaa.in/rasket/admin/index.html)
15:16:53	68157/68157	U--M-Z	200	updated ('OK')	text/html	etag:%2210a3d-6532f0e4aef04-gzip%22	https://techzaa.in/rasket/admin/charts-apex-column.html	C:/My%20Web%20Sites/Prototipo%20Salao%20de%20eventos/techzaa.in/rasket/admin/charts-apex-column.html	(from https://techzaa.in/rasket/admin/index.html)
15:16:53	65636/65636	U--M-Z	200	updated ('OK')	text/html	etag:%2210064-6532f0e4aef04-gzip%22	https://techzaa.in/rasket/admin/charts-apex-heatmap.html	C:/My%20Web%20Sites/Prototipo%20Salao%20de%20eventos/techzaa.in/rasket/admin/charts-apex-heatmap.html	(from https://techzaa.in/rasket/admin/index.html)
15:16:53	67423/67423	U--M-Z	200	updated ('OK')	text/html	etag:%221075f-6532f0e4aef04-gzip%22	https://techzaa.in/rasket/admin/charts-apex-line.html	C:/My%20Web%20Sites/Prototipo%20Salao%20de%20eventos/techzaa.in/rasket/admin/charts-apex-line.html	(from https://techzaa.in/rasket/admin/index.html)
